Name,Price,Overall Rating,Total no of rating,Total no of reviews,5 star rating,4 star rating,3 star rating,2 star rating,1 star rating,Camera Rating,Battery Rating,Display Rating,Design Rating,Variant,Display,Camera,Offers
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999",4.3,"(2,03,019)","15,526 Reviews","1,21,848","47,633","14,994","5,467","13,077",3.8,4.0,4.0,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹750 Off On ICICI bank Credit and Debit Card Transactions,Get extra ₹8000 off (price inclusive of cashback/coupon)"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹8,890",4.2,"(35,983)","2,038 Reviews","21,066","7,487","3,290","1,275","2,865",3.3,3.8,3.8,3.8,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹15,999",4.3,"(1,978)",102 Reviews,"1,281",391,124,49,133,4.1,4.2,4.1,3.9,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹1042 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,499",4.3,"(1,63,123)","9,356 Reviews","1,04,288","32,551","11,932","4,576","9,776",3.7,4.2,4.0,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,Get extra ₹5500 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","₹20,890",4.2,"(3,673)",406 Reviews,"2,117",863,275,107,311,4.0,3.7,4.2,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3080 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)","₹20,889",4.2,"(3,673)",406 Reviews,"2,117",863,275,107,311,4.0,3.7,4.2,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2601 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Mi 11X (Cosmic Black, 128 GB)","₹23,990",4.2,"(2,458)",254 Reviews,"1,464",486,173,89,246,3.7,3.9,4.2,3.9,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,48MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹4009 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Mi 11X (Celestial Silver, 128 GB)","₹22,490",4.2,"(2,988)",288 Reviews,"1,716",697,213,77,285,3.6,4.0,4.3,4.0,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹6210 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Mi 11X Pro 5G (Lunar White, 128 GB)","₹25,699",4,(540),39 Reviews,307,93,32,25,83,3.8,3.6,4.2,3.8,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹20,999",4.2,"(3,673)",406 Reviews,"2,117",863,275,107,311,4.0,3.7,4.2,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2431 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹22,780",4.2,"(1,854)",192 Reviews,"1,125",410,115,38,166,4.0,3.8,4.3,4.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹1203 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹26,999",4.2,"(22,082)","2,710 Reviews","12,949","4,705","1,787",676,"1,965",3.6,4.1,4.2,3.8,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,108MP Rear Camera | 16MP Front Camera,"Additional ₹4000 off on Credit and Debit Card Transactions,5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"Mi 11X (Cosmic Black, 128 GB)","₹23,990",4.2,"(2,458)",254 Reviews,"1,464",486,173,89,246,3.7,3.9,4.2,3.9,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3009 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Redmi 10 Prime (Astral White, 64 GB)","₹12,990",4.2,(268),11 Reviews,166,48,22,5,27,3.5,4.0,3.7,3.8,4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) Display,8MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"Mi 11X (Lunar White, 128 GB)","₹23,990",4.2,"(2,458)",254 Reviews,"1,464",486,173,89,246,3.7,3.9,4.2,3.9,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2009 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Redmi 9A Sport (Carbon Black, 32 GB)","₹8,445",4.2,"(7,006)",498 Reviews,"3,929","1,742",703,219,413,3.6,4.1,4.0,3.9,3 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"Mi 10T (Lunar Silver, 128 GB)","₹23,480",4.1,"(3,663)",464 Reviews,"2,060",762,313,150,378,3.9,4.2,3.9,3.9,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 13MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2519 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹17,999",4.5,"(3,20,949)","26,316 Reviews","2,15,631","68,461","17,329","5,832","13,696",4.3,4.1,4.2,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"REDMI Note 11 Pro (Phantom White, 128 GB)","₹21,900",4.2,"(1,447)",104 Reviews,867,303,122,46,109,3.7,4.0,4.1,3.9,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"Mi 11X (Celestial Silver, 128 GB)","₹23,990",4.2,"(2,458)",254 Reviews,"1,464",486,173,89,246,3.7,3.9,4.2,3.9,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3009 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,290",4.1,"(26,586)","1,936 Reviews","14,664","5,971","2,794","1,094","2,063",3.5,3.9,3.8,3.8,2 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
